Date,Symbol,Order,Shares
2008-01-31 00:00:00,ML4T-399,SELL,100
2008-02-06 00:00:00,ML4T-399,BUY,100
2008-02-07 00:00:00,ML4T-399,BUY,100
2008-02-13 00:00:00,ML4T-399,SELL,100
2008-02-14 00:00:00,ML4T-399,SELL,100
2008-02-21 00:00:00,ML4T-399,BUY,100
2008-02-22 00:00:00,ML4T-399,SELL,100
2008-02-28 00:00:00,ML4T-399,BUY,100
2008-02-29 00:00:00,ML4T-399,BUY,100
2008-03-06 00:00:00,ML4T-399,SELL,100
2008-03-07 00:00:00,ML4T-399,SELL,100
2008-03-13 00:00:00,ML4T-399,BUY,100
2008-03-14 00:00:00,ML4T-399,SELL,100
2008-03-20 00:00:00,ML4T-399,BUY,100
2008-03-24 00:00:00,ML4T-399,BUY,100
2008-03-28 00:00:00,ML4T-399,SELL,100
2008-03-31 00:00:00,ML4T-399,SELL,100
2008-04-04 00:00:00,ML4T-399,BUY,100
2008-04-07 00:00:00,ML4T-399,SELL,100
2008-04-11 00:00:00,ML4T-399,BUY,100
2008-04-14 00:00:00,ML4T-399,BUY,100
2008-04-18 00:00:00,ML4T-399,SELL,100
2008-04-21 00:00:00,ML4T-399,SELL,100
2008-04-25 00:00:00,ML4T-399,BUY,100
2008-04-28 00:00:00,ML4T-399,SELL,100
2008-05-02 00:00:00,ML4T-399,BUY,100
2008-05-05 00:00:00,ML4T-399,BUY,100
2008-05-09 00:00:00,ML4T-399,SELL,100
2008-05-13 00:00:00,ML4T-399,SELL,100
2008-05-19 00:00:00,ML4T-399,BUY,100
2008-05-20 00:00:00,ML4T-399,SELL,100
2008-05-27 00:00:00,ML4T-399,BUY,100
2008-05-28 00:00:00,ML4T-399,BUY,100
2008-06-03 00:00:00,ML4T-399,SELL,100
2008-06-04 00:00:00,ML4T-399,SELL,100
2008-06-10 00:00:00,ML4T-399,BUY,100
2008-06-11 00:00:00,ML4T-399,SELL,100
2008-06-17 00:00:00,ML4T-399,BUY,100
2008-06-18 00:00:00,ML4T-399,BUY,100
2008-06-24 00:00:00,ML4T-399,SELL,100
2008-06-25 00:00:00,ML4T-399,SELL,100
2008-07-01 00:00:00,ML4T-399,BUY,100
2008-07-02 00:00:00,ML4T-399,SELL,100
2008-07-09 00:00:00,ML4T-399,BUY,100
2008-07-10 00:00:00,ML4T-399,BUY,100
2008-07-16 00:00:00,ML4T-399,SELL,100
2008-07-17 00:00:00,ML4T-399,SELL,100
2008-07-23 00:00:00,ML4T-399,BUY,100
2008-07-24 00:00:00,ML4T-399,SELL,100
2008-07-30 00:00:00,ML4T-399,BUY,100
2008-07-31 00:00:00,ML4T-399,BUY,100
2008-08-06 00:00:00,ML4T-399,SELL,100
2008-08-07 00:00:00,ML4T-399,SELL,100
2008-08-13 00:00:00,ML4T-399,BUY,100
2008-08-14 00:00:00,ML4T-399,SELL,100
2008-08-20 00:00:00,ML4T-399,BUY,100
2008-08-21 00:00:00,ML4T-399,BUY,100
2008-08-27 00:00:00,ML4T-399,SELL,100
2008-08-28 00:00:00,ML4T-399,SELL,100
2008-09-04 00:00:00,ML4T-399,BUY,100
2008-09-05 00:00:00,ML4T-399,SELL,100
2008-09-11 00:00:00,ML4T-399,BUY,100
2008-09-12 00:00:00,ML4T-399,BUY,100
2008-09-18 00:00:00,ML4T-399,SELL,100
2008-09-19 00:00:00,ML4T-399,SELL,100
2008-09-25 00:00:00,ML4T-399,BUY,100
2008-09-26 00:00:00,ML4T-399,SELL,100
2008-10-02 00:00:00,ML4T-399,BUY,100
2008-10-03 00:00:00,ML4T-399,BUY,100
2008-10-09 00:00:00,ML4T-399,SELL,100
2008-10-10 00:00:00,ML4T-399,SELL,100
2008-10-16 00:00:00,ML4T-399,BUY,100
2008-10-17 00:00:00,ML4T-399,SELL,100
2008-10-23 00:00:00,ML4T-399,BUY,100
2008-10-24 00:00:00,ML4T-399,BUY,100
2008-10-30 00:00:00,ML4T-399,SELL,100
2008-11-03 00:00:00,ML4T-399,SELL,100
2008-11-07 00:00:00,ML4T-399,BUY,100
2008-11-10 00:00:00,ML4T-399,SELL,100
2008-11-14 00:00:00,ML4T-399,BUY,100
2008-11-17 00:00:00,ML4T-399,BUY,100
2008-11-21 00:00:00,ML4T-399,SELL,100
2008-11-24 00:00:00,ML4T-399,SELL,100
2008-12-01 00:00:00,ML4T-399,BUY,100
2008-12-02 00:00:00,ML4T-399,SELL,100
2008-12-08 00:00:00,ML4T-399,BUY,100
2008-12-09 00:00:00,ML4T-399,BUY,100
2008-12-15 00:00:00,ML4T-399,SELL,100
2008-12-16 00:00:00,ML4T-399,SELL,100
2008-12-22 00:00:00,ML4T-399,BUY,100
2008-12-23 00:00:00,ML4T-399,SELL,100
2008-12-30 00:00:00,ML4T-399,BUY,100
2008-12-31 00:00:00,ML4T-399,BUY,100
2009-01-07 00:00:00,ML4T-399,SELL,100
2009-01-08 00:00:00,ML4T-399,SELL,100
2009-01-14 00:00:00,ML4T-399,BUY,100
2009-01-15 00:00:00,ML4T-399,SELL,100
2009-01-22 00:00:00,ML4T-399,BUY,100
2009-01-23 00:00:00,ML4T-399,BUY,100
2009-01-29 00:00:00,ML4T-399,SELL,100
2009-01-30 00:00:00,ML4T-399,SELL,100
2009-02-05 00:00:00,ML4T-399,BUY,100
2009-02-06 00:00:00,ML4T-399,SELL,100
2009-02-12 00:00:00,ML4T-399,BUY,100
2009-02-13 00:00:00,ML4T-399,BUY,100
2009-02-20 00:00:00,ML4T-399,SELL,100
2009-02-23 00:00:00,ML4T-399,SELL,100
2009-02-27 00:00:00,ML4T-399,BUY,100
2009-03-02 00:00:00,ML4T-399,SELL,100
2009-03-06 00:00:00,ML4T-399,BUY,100
2009-03-09 00:00:00,ML4T-399,BUY,100
2009-03-13 00:00:00,ML4T-399,SELL,100
2009-03-16 00:00:00,ML4T-399,SELL,100
2009-03-20 00:00:00,ML4T-399,BUY,100
2009-03-23 00:00:00,ML4T-399,SELL,100
2009-03-27 00:00:00,ML4T-399,BUY,100
2009-03-30 00:00:00,ML4T-399,BUY,100
2009-04-03 00:00:00,ML4T-399,SELL,100
2009-04-06 00:00:00,ML4T-399,SELL,100
2009-04-13 00:00:00,ML4T-399,BUY,100
2009-04-14 00:00:00,ML4T-399,SELL,100
2009-04-20 00:00:00,ML4T-399,BUY,100
2009-04-21 00:00:00,ML4T-399,BUY,100
2009-04-27 00:00:00,ML4T-399,SELL,100
2009-04-29 00:00:00,ML4T-399,SELL,100
2009-05-05 00:00:00,ML4T-399,BUY,100
2009-05-06 00:00:00,ML4T-399,SELL,100
2009-05-12 00:00:00,ML4T-399,BUY,100
2009-05-13 00:00:00,ML4T-399,BUY,100
2009-05-19 00:00:00,ML4T-399,SELL,100
2009-05-20 00:00:00,ML4T-399,SELL,100
2009-05-27 00:00:00,ML4T-399,BUY,100
2009-05-28 00:00:00,ML4T-399,SELL,100
2009-06-03 00:00:00,ML4T-399,BUY,100
2009-06-04 00:00:00,ML4T-399,BUY,100
2009-06-10 00:00:00,ML4T-399,SELL,100
2009-06-11 00:00:00,ML4T-399,SELL,100
2009-06-17 00:00:00,ML4T-399,BUY,100
2009-06-18 00:00:00,ML4T-399,SELL,100
2009-06-24 00:00:00,ML4T-399,BUY,100
2009-06-25 00:00:00,ML4T-399,BUY,100
2009-07-01 00:00:00,ML4T-399,SELL,100
2009-07-02 00:00:00,ML4T-399,SELL,100
2009-07-09 00:00:00,ML4T-399,BUY,100
2009-07-10 00:00:00,ML4T-399,SELL,100
2009-07-16 00:00:00,ML4T-399,BUY,100
2009-07-17 00:00:00,ML4T-399,BUY,100
2009-07-23 00:00:00,ML4T-399,SELL,100
2009-07-24 00:00:00,ML4T-399,SELL,100
2009-07-30 00:00:00,ML4T-399,BUY,100
2009-07-31 00:00:00,ML4T-399,SELL,100
2009-08-06 00:00:00,ML4T-399,BUY,100
2009-08-07 00:00:00,ML4T-399,BUY,100
2009-08-13 00:00:00,ML4T-399,SELL,100
2009-08-14 00:00:00,ML4T-399,SELL,100
2009-08-20 00:00:00,ML4T-399,BUY,100
2009-08-21 00:00:00,ML4T-399,SELL,100
2009-08-27 00:00:00,ML4T-399,BUY,100
2009-08-28 00:00:00,ML4T-399,BUY,100
2009-09-03 00:00:00,ML4T-399,SELL,100
2009-09-04 00:00:00,ML4T-399,SELL,100
2009-09-11 00:00:00,ML4T-399,BUY,100
2009-09-14 00:00:00,ML4T-399,SELL,100
